[23-May-2017 13:21:27 UTC] PHP Fatal error:  Call to undefined function registerCssFile() in /home/ubuntu/workspace/kids2/views/layouts/main.php on line 26
[07-Jun-2017 13:22:50 UTC] PHP Parse error:  syntax error, unexpected ']' in /home/ubuntu/workspace/kids2/controllers/SiteController.php on line 114
[07-Jun-2017 13:22:50 UTC] PHP Stack trace:
[07-Jun-2017 13:22:50 UTC] PHP   1. {main}() /home/ubuntu/workspace/kids2/kids/index.php:0
[07-Jun-2017 13:22:50 UTC] PHP   2. yii\base\Application->run() /home/ubuntu/workspace/kids2/kids/index.php:12
[07-Jun-2017 13:22:50 UTC] PHP   3. yii\web\Application->handleRequest() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Application.php:380
[07-Jun-2017 13:22:50 UTC] PHP   4. yii\base\Module->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/web/Application.php:102
[07-Jun-2017 13:22:50 UTC] PHP   5. yii\base\Module->createController() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:517
[07-Jun-2017 13:22:50 UTC] PHP   6. yii\base\Module->createControllerByID() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:591
[07-Jun-2017 13:22:50 UTC] PHP   7. class_exists() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:633
[07-Jun-2017 13:22:50 UTC] PHP   8. spl_autoload_call() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:633
[07-Jun-2017 13:22:50 UTC] PHP   9. yii\BaseYii::autoload() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:633
[07-Jun-2017 13:23:16 UTC] PHP Fatal error:  Class 'app\controllers\Sale' not found in /home/ubuntu/workspace/kids2/controllers/SiteController.php on line 95
[07-Jun-2017 13:23:16 UTC] PHP Stack trace:
[07-Jun-2017 13:23:16 UTC] PHP   1. {main}() /home/ubuntu/workspace/kids2/kids/index.php:0
[07-Jun-2017 13:23:16 UTC] PHP   2. yii\base\Application->run() /home/ubuntu/workspace/kids2/kids/index.php:12
[07-Jun-2017 13:23:16 UTC] PHP   3. yii\web\Application->handleRequest() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Application.php:380
[07-Jun-2017 13:23:16 UTC] PHP   4. yii\base\Module->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/web/Application.php:102
[07-Jun-2017 13:23:16 UTC] PHP   5. yii\base\Controller->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:523
[07-Jun-2017 13:23:16 UTC] PHP   6. yii\base\InlineAction->runWithParams() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Controller.php:156
[07-Jun-2017 13:23:16 UTC] PHP   7. call_user_func_array:{/home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57}() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57
[07-Jun-2017 13:23:16 UTC] PHP   8. app\controllers\SiteController->actionIndex() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/InlineAction.php:57
[07-Jun-2017 13:24:02 UTC] PHP Parse error:  syntax error, unexpected 'class' (T_CLASS), expecting ',' or ';' in /home/ubuntu/workspace/kids2/controllers/SiteController.php on line 15
[07-Jun-2017 13:24:02 UTC] PHP Stack trace:
[07-Jun-2017 13:24:02 UTC] PHP   1. {main}() /home/ubuntu/workspace/kids2/kids/index.php:0
[07-Jun-2017 13:24:02 UTC] PHP   2. yii\base\Application->run() /home/ubuntu/workspace/kids2/kids/index.php:12
[07-Jun-2017 13:24:02 UTC] PHP   3. yii\web\Application->handleRequest() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Application.php:380
[07-Jun-2017 13:24:02 UTC] PHP   4. yii\base\Module->runAction() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/web/Application.php:102
[07-Jun-2017 13:24:02 UTC] PHP   5. yii\base\Module->createController() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:517
[07-Jun-2017 13:24:02 UTC] PHP   6. yii\base\Module->createControllerByID() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:591
[07-Jun-2017 13:24:02 UTC] PHP   7. class_exists() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:633
[07-Jun-2017 13:24:02 UTC] PHP   8. spl_autoload_call() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:633
[07-Jun-2017 13:24:02 UTC] PHP   9. yii\BaseYii::autoload() /home/ubuntu/workspace/kids2/vendor/yiisoft/yii2/base/Module.php:633
